date_releve,marque,nb_total,nb_electrique,proportion_electrique
2026-07-13T08:13:11,Jeep,52,11,0.2115
2026-07-13T08:13:11,Kia,49,4,0.0816
2026-07-13T08:13:11,Lancia,1,0,0.0
2026-07-13T08:13:11,Lexus,2,0,0.0
2026-07-13T08:13:11,Lynk&Co,2,0,0.0
2026-07-13T08:13:11,MG,74,17,0.2297
2026-07-13T08:13:11,Mazda,12,3,0.25
2026-07-13T08:13:11,Mercedes,37,0,0.0
2026-07-13T08:13:11,Mini,29,3,0.1034
2026-07-13T08:13:11,Mitsubishi,1,0,0.0
2026-07-13T08:13:11,Nissan,55,1,0.0182
2026-07-13T08:13:11,Opel,121,28,0.2314
2026-07-13T08:13:11,Peugeot,672,78,0.1161
2026-07-13T08:13:11,Renault,453,96,0.2119
2026-07-13T08:13:11,Seat,30,0,0.0
2026-07-13T08:13:11,Skoda,27,2,0.0741
2026-07-13T08:13:11,Smart,6,6,1.0
2026-07-13T08:13:11,Suzuki,9,0,0.0
2026-07-13T08:13:11,Tesla,20,20,1.0
2026-07-13T08:13:11,Toyota,86,0,0.0
2026-07-13T08:13:11,Volkswagen,172,6,0.0349
2026-07-13T08:13:11,Volvo,22,2,0.0909
2026-07-13T08:13:11,XPENG,1,1,1.0
